Accident_Date,Claim_Date,Claiment_Gender,Claimant_Age,Claim_Number,Policy_Number,Policy_Type,Fraud_Found,Deductible,Driver_Rating,Police_Report_Filed,Witness_Present,Agent_Type,Base_Policy_Type
25-Aug-01,14-Aug-02,Male,72,76,2304,Sedan - Collision,0,400,4,No,No,External,Collision
16-Apr-01,22-Jun-01,Female,26,77,1565,Sedan - All Perils,0,400,3,No,No,External,All Perils
10-Mar-01,04-Sep-01,Male,65,78,2140,Sport - Collision,0,400,3,No,No,External,Collision
27-Jul-01,29-Jul-01,Female,40,79,1454,Sedan - Liability,0,400,1,No,No,External,Liability
11-Apr-03,30-Apr-03,Male,62,80,2557,Sedan - Collision,0,400,1,No,No,External,Collision
12-Apr-01,16-Dec-01,Female,72,81,3939,Sedan - Liability,0,400,4,No,No,External,Liability
18-Apr-03,01-Jun-03,Male,55,82,4125,Sedan - Liability,0,400,2,No,No,External,Liability
10-Jan-02,07-Mar-02,Male,34,83,4455,Sedan - All Perils,0,400,4,No,No,External,All Perils
25-May-02,13-Sep-02,Female,44,84,1025,Sedan - Liability,0,400,4,No,No,External,Liability
03-Nov-01,16-Aug-02,Male,78,85,579,Sedan - Liability,0,400,2,No,No,External,Liability
02-Mar-02,13-May-02,Female,67,86,4603,Utility - Liability,0,400,4,No,No,External,Liability
04-Oct-01,13-Oct-01,Male,51,87,2515,Sedan - Collision,0,400,3,No,No,External,Collision
01-Aug-01,13-Oct-01,Male,43,88,4670,Sedan - All Perils,0,400,2,No,No,External,All Perils
02-Sep-01,17-Sep-01,Male,22,89,125,Sedan - All Perils,0,400,4,No,No,External,All Perils
14-May-02,11-Feb-03,Female,67,90,4210,Sedan - Liability,0,400,2,No,No,External,Liability
04-Nov-01,27-Jan-02,Male,58,91,4539,Sport - Collision,0,400,1,No,No,External,Collision
26-Oct-01,24-Nov-01,Male,25,92,943,Sedan - Liability,0,400,2,No,No,External,Liability
15-Jul-01,18-Mar-02,Male,25,93,2303,Sedan - All Perils,0,400,1,No,No,External,All Perils
08-Aug-01,22-Jun-02,Male,57,94,4282,Sedan - Collision,0,700,3,No,No,External,Collision
13-Aug-01,11-Feb-02,Male,43,95,3593,Sport - Collision,1,400,3,No,No,External,Collision
27-Nov-01,27-Apr-02,Male,31,96,3941,Sedan - Collision,0,400,4,No,No,External,Collision
01-Sep-02,06-Dec-02,Male,33,97,2730,Sedan - Collision,1,400,2,No,No,External,Collision
08-Feb-01,10-Nov-01,Male,72,98,43,Sedan - All Perils,0,400,4,No,No,External,All Perils
14-Sep-02,18-Jun-03,Male,55,99,1588,Sedan - All Perils,0,400,4,No,No,External,All Perils
23-Jul-02,30-May-03,Male,37,100,1147,Sedan - All Perils,0,400,1,No,No,External,All Perils
21-Apr-01,06-Jul-01,Male,30,101,1001,Utility - All Perils,1,400,1,No,No,External,All Perils
19-Jul-03,28-Feb-04,Male,60,102,4277,Sedan - All Perils,0,400,4,No,No,External,All Perils
14-Aug-01,09-Jun-02,Male,74,103,2523,Sedan - All Perils,0,500,2,Yes,No,External,All Perils
28-Oct-01,24-Jan-02,Male,70,104,4191,Sedan - All Perils,0,400,3,No,No,External,All Perils
31-Mar-01,22-Nov-01,Male,78,105,4057,Sedan - All Perils,0,400,4,No,No,External,All Perils
27-Apr-01,15-Jun-01,Male,37,106,4471,Sedan - Liability,0,400,1,No,No,External,Liability
06-Jun-02,26-Jun-02,Male,44,107,2620,Sedan - Collision,0,400,2,No,No,External,Collision
13-Jan-01,24-May-01,Female,54,108,39,Sedan - All Perils,0,400,1,No,No,External,All Perils
01-Feb-01,21-Aug-01,Male,77,109,3147,Sedan - All Perils,0,400,1,No,No,External,All Perils
07-Jan-01,24-Apr-01,Male,28,110,3388,Sedan - Liability,0,400,4,No,No,External,Liability
07-Jun-01,16-Jun-01,Male,50,111,2946,Sedan - Collision,0,400,2,No,No,External,Collision
26-Feb-01,20-Feb-02,Male,45,112,4418,Sedan - All Perils,0,400,3,No,No,External,All Perils
05-Jun-01,17-Jul-01,Female,45,113,13,Sedan - All Perils,0,400,1,No,No,External,All Perils
05-Jan-01,30-Mar-01,Male,40,114,312,Utility - All Perils,1,400,2,No,No,External,All Perils
11-Jan-02,05-May-02,Male,37,115,4874,Sedan - Collision,0,400,3,No,No,External,Collision
22-Apr-01,29-Apr-01,Male,29,116,4891,Sport - Collision,0,400,1,No,No,External,Collision
08-Apr-01,17-Sep-01,Male,30,117,3506,Sedan - Collision,0,400,2,No,Yes,External,Collision
15-Feb-01,17-Oct-01,Female,52,118,3606,Sedan - Liability,0,400,3,No,No,External,Liability
22-Dec-01,23-Aug-02,Male,53,119,2211,Sedan - All Perils,1,400,3,No,No,External,All Perils
22-Jan-01,23-Jun-01,Male,21,120,3039,Sedan - All Perils,1,400,3,No,No,External,All Perils
21-Apr-03,23-May-03,Male,75,121,3368,Sedan - All Perils,0,400,3,No,No,External,All Perils
13-Apr-01,15-May-01,Male,29,122,1619,Sport - Collision,0,400,4,No,No,External,Collision
26-Dec-01,20-Feb-02,Female,22,123,4548,Sedan - Collision,0,400,1,No,No,External,Collision
21-Feb-02,28-Feb-02,Female,73,124,1360,Sedan - Collision,0,400,4,No,No,External,Collision
21-Apr-01,18-Nov-01,Female,50,125,312,Sedan - All Perils,0,400,3,No,No,External,All Perils
27-Jan-02,18-May-02,Male,28,126,204,Sedan - Liability,0,400,4,No,No,External,Liability
01-Mar-01,01-Feb-02,Male,65,127,670,Sedan - Collision,0,400,2,Yes,No,External,Collision
11-Jan-02,28-Jan-02,Female,48,128,2812,Sedan - Liability,0,400,3,No,No,External,Liability
06-Apr-01,25-Apr-01,Male,35,129,2697,Sedan - Liability,0,400,3,No,Yes,External,Liability
29-May-02,01-Aug-02,Male,34,130,1088,Sedan - Collision,0,400,3,No,No,External,Collision
04-Sep-02,05-Dec-02,Male,23,131,37,Sedan - Collision,0,400,1,No,No,External,Collision
26-Aug-01,30-Aug-01,Male,67,132,1212,Sedan - Collision,0,400,3,No,No,External,Collision
03-Feb-01,22-May-01,Female,34,133,2686,Sedan - Collision,0,400,4,No,No,External,Collision
07-Nov-02,11-Nov-02,Male,27,134,2703,Sedan - Collision,0,400,3,No,No,External,Collision
27-Sep-01,08-Oct-02,Male,62,135,1502,Sedan - Collision,0,400,4,No,No,External,Collision
04-Jun-01,12-Jun-01,Female,61,136,3573,Sedan - Collision,0,400,2,No,No,External,Collision
16-Apr-01,13-Jul-01,Female,72,137,3765,Sedan - Collision,0,400,4,No,No,External,Collision
02-Jan-02,08-Jan-02,Male,52,138,978,Sedan - All Perils,0,400,4,No,No,External,All Perils
16-Jan-01,26-Jan-01,Male,25,139,3554,Sedan - All Perils,0,400,2,No,No,External,All Perils
07-Mar-01,12-Apr-01,Male,56,140,1112,Sedan - All Perils,0,400,2,No,No,External,All Perils
31-May-01,25-Mar-02,Female,57,141,1285,Sport - Collision,0,400,4,No,No,External,Collision
15-Jan-02,16-Oct-02,Male,63,142,4752,Sedan - All Perils,0,400,4,No,No,External,All Perils
13-Jan-01,23-Jul-01,Male,57,143,4109,Sedan - Liability,0,400,4,No,No,Internal,Liability
09-Jul-01,15-Feb-02,Male,30,144,1877,Sedan - Collision,0,400,2,No,No,External,Collision
10-Mar-01,28-Sep-01,Male,26,145,1527,Sedan - Liability,0,400,4,No,No,External,Liability
10-Feb-02,03-Feb-03,Male,21,146,4842,Sedan - All Perils,0,400,1,No,No,External,All Perils
14-Jun-01,13-Jul-01,Male,49,147,2017,Sedan - Liability,0,400,1,No,No,External,Liability
09-May-01,08-Sep-01,Male,24,148,4528,Sedan - All Perils,1,400,3,No,No,External,All Perils
16-Feb-01,23-May-01,Male,61,149,957,Sedan - Collision,0,400,1,No,No,External,Collision
22-Feb-01,08-Jun-01,Male,45,150,2476,Sedan - Collision,0,400,4,No,No,External,Collision
20-Aug-01,18-Sep-01,Male,33,151,70,Sedan - Collision,0,400,1,No,No,External,Collision
15-Nov-02,22-Dec-02,Male,37,152,885,Sedan - Liability,0,400,4,No,No,External,Liability
27-Oct-01,01-Jan-02,Male,52,153,1637,Sedan - Liability,0,400,3,No,No,External,Liability
10-Aug-01,02-Sep-01,Female,40,154,34,Sedan - All Perils,0,500,3,No,No,External,All Perils
26-Mar-01,22-Aug-01,Male,64,155,1415,Sedan - Liability,0,400,3,No,No,External,Liability
22-May-02,17-Nov-02,Male,49,156,3407,Sedan - Liability,0,400,2,No,No,External,Liability
12-Nov-01,05-Dec-01,Male,31,157,4334,Sedan - Collision,0,400,1,No,No,External,Collision
04-Feb-02,19-Sep-02,Male,53,158,1055,Sedan - All Perils,0,400,2,No,No,External,All Perils
14-Feb-01,04-Jul-01,Male,41,159,4773,Sedan - Liability,0,400,4,No,No,External,Liability
16-Aug-01,28-Sep-02,Male,29,160,2167,Sedan - Liability,0,400,3,No,No,External,Liability
20-May-01,23-Oct-01,Female,58,161,1461,Sedan - All Perils,1,400,3,No,No,External,All Perils
07-Jan-01,23-Jan-02,Male,63,162,3634,Sedan - Liability,0,400,1,No,No,External,Liability
30-Apr-01,01-May-01,Male,52,163,1693,Sedan - Liability,0,400,3,No,No,External,Liability
14-Jul-01,23-Aug-01,Male,39,164,1012,Sedan - All Perils,0,400,3,No,No,External,All Perils
24-Mar-01,17-Jan-02,Male,72,165,1224,Sedan - Collision,0,400,1,No,No,External,Collision
10-Jan-01,21-Jun-01,Female,62,166,3435,Sedan - Liability,0,400,1,No,No,External,Liability
16-Jan-01,04-May-01,Female,50,167,4989,Sedan - All Perils,0,400,2,No,No,External,All Perils
09-Jul-01,06-Sep-01,Male,48,168,4874,Sedan - Collision,0,400,4,No,No,External,Collision
04-Jan-02,14-Feb-02,Male,72,169,454,Utility - All Perils,0,400,4,No,No,External,All Perils
30-Nov-01,04-Aug-02,Male,77,170,2895,Sedan - Liability,0,400,1,No,No,External,Liability
19-Apr-01,26-Sep-01,Male,53,171,4339,Sedan - All Perils,0,400,3,No,No,External,All Perils
13-Mar-01,24-Mar-01,Male,67,172,3675,Sedan - Liability,0,400,2,No,No,External,Liability
26-Dec-01,01-May-02,Male,19,173,1472,Sedan - Collision,0,400,4,No,No,External,Collision
12-Sep-01,03-Feb-02,Male,43,174,3850,Sedan - Liability,0,400,4,No,No,External,Liability
20-Jul-01,16-Sep-01,Male,21,175,4702,Sedan - All Perils,0,400,1,No,No,External,All Perils
11-Jan-01,27-Dec-01,Male,71,176,4619,Sedan - All Perils,0,400,2,No,No,External,All Perils
26-Sep-01,14-Jul-02,Male,20,177,4196,Sedan - All Perils,0,400,2,No,No,External,All Perils
21-Feb-03,13-Sep-03,Male,60,178,435,Sedan - Liability,0,400,3,No,No,External,Liability
11-Sep-01,17-Oct-01,Male,33,179,1204,Sedan - All Perils,0,400,1,No,No,External,All Perils
05-Jan-01,05-Jan-01,Male,72,180,2535,Sedan - All Perils,0,400,3,No,No,External,All Perils
06-Jun-01,13-Jun-01,Male,51,181,543,Sedan - All Perils,0,400,4,No,No,External,All Perils
07-Jul-01,02-Nov-01,Male,31,182,3831,Sedan - Collision,0,400,2,No,No,External,Collision
23-Dec-01,06-Jun-02,Male,40,183,3479,Sedan - All Perils,0,400,4,No,No,External,All Perils
29-Dec-01,31-Mar-02,Male,65,184,1575,Sedan - All Perils,0,400,1,No,No,External,All Perils
17-Jul-01,17-Sep-01,Male,45,185,387,Sedan - All Perils,0,400,2,No,No,External,All Perils
12-Apr-01,28-Apr-01,Male,66,186,2119,Sedan - All Perils,0,400,4,No,No,External,All Perils
05-Apr-01,15-Apr-01,Male,48,187,1066,Sedan - Liability,0,400,4,No,No,External,Liability
15-Jan-01,24-May-01,Male,64,188,3824,Sedan - Liability,0,400,4,No,No,External,Liability
01-Feb-01,29-Mar-01,Male,42,189,3966,Sedan - Liability,0,400,1,No,No,External,Liability
13-Mar-01,08-Nov-01,Female,48,190,3002,Sedan - All Perils,1,400,2,No,No,External,All Perils
22-Mar-01,30-Jun-01,Male,30,191,4741,Sedan - Collision,0,400,4,No,No,External,Collision
21-Nov-01,17-Feb-02,Male,25,192,439,Sedan - All Perils,0,400,2,No,No,External,All Perils
17-Mar-01,05-May-01,Male,74,193,4878,Utility - All Perils,1,400,2,No,No,External,All Perils
26-May-02,25-Jul-03,Male,62,194,692,Sedan - All Perils,0,400,3,No,No,External,All Perils
26-Jun-01,25-Jul-01,Male,23,195,4472,Sport - Collision,1,400,3,No,No,External,Collision
01-Jan-01,14-Sep-01,Male,33,196,2738,Sedan - Collision,0,400,3,No,No,External,Collision
19-Mar-02,28-Apr-02,Male,26,197,1976,Sedan - Collision,0,400,3,No,No,External,Collision
15-Dec-02,29-Mar-03,Male,60,198,2187,Sedan - Collision,0,400,3,No,No,External,Collision
30-Mar-01,28-Nov-01,Male,69,199,3363,Sedan - All Perils,0,400,4,No,No,External,All Perils
09-Jul-01,28-Dec-01,Male,60,200,4422,Sedan - All Perils,0,400,4,No,No,External,All Perils
15-Mar-01,11-Jun-02,Male,69,201,3760,Sedan - Collision,0,400,4,No,No,External,Collision
10-Mar-01,01-Mar-02,Male,72,202,471,Sedan - Collision,0,400,4,No,No,External,Collision
12-Jul-02,12-Jul-02,Male,67,203,1000,Sedan - Collision,0,400,3,No,No,External,Collision
18-Jul-01,07-Sep-01,Male,47,204,1006,Sedan - Liability,0,400,4,No,No,External,Liability
15-Jan-01,09-Oct-01,Female,30,205,2956,Sedan - All Perils,1,500,3,No,No,External,All Perils
14-Dec-01,12-Feb-02,Male,59,206,2985,Sedan - Collision,0,400,3,No,No,External,Collision
13-Apr-02,27-Apr-02,Male,65,207,1744,Sedan - Collision,1,400,4,No,No,External,Collision
11-Jan-02,20-Jun-02,Male,64,208,2899,Sedan - Collision,0,400,4,No,No,External,Collision
16-Oct-01,20-Oct-01,Male,50,209,4971,Sedan - Collision,0,400,2,No,No,External,Collision
23-Feb-01,25-Mar-01,Male,49,210,3260,Sedan - All Perils,0,400,2,No,No,External,All Perils
14-May-02,05-Feb-03,Male,21,211,4757,Sedan - Collision,0,400,1,No,No,External,Collision
10-Jul-02,27-Aug-02,Male,49,212,1075,Sedan - All Perils,0,400,1,No,No,External,All Perils
15-Jun-01,30-Jun-01,Male,60,213,1136,Sedan - Collision,0,400,4,No,No,External,Collision
12-Jan-03,25-Apr-03,Male,19,214,3309,Sedan - All Perils,0,400,4,No,No,External,All Perils
26-Mar-01,08-Oct-01,Male,75,215,152,Sedan - Collision,0,400,1,No,No,External,Collision
16-Feb-01,19-Mar-01,Female,39,216,3081,Sedan - Collision,0,400,1,No,No,External,Collision
25-Mar-01,28-Dec-01,Male,24,217,4589,Sedan - Collision,0,400,2,Yes,No,External,Collision
05-Jan-01,04-Aug-01,Male,65,218,2201,Sedan - Liability,0,700,4,No,No,External,Liability
13-Jan-02,05-Feb-02,Male,40,219,1107,Sedan - Collision,0,400,1,No,No,External,Collision
20-Jun-01,27-Jun-01,Male,52,220,1757,Sedan - All Perils,0,400,4,No,No,External,All Perils
25-Jan-01,09-May-01,Male,26,221,4916,Sedan - Liability,0,400,1,No,No,External,Liability
27-Feb-01,28-Apr-02,Male,20,222,2932,Sedan - Liability,0,400,4,No,No,External,Liability
29-Jul-01,31-Jul-01,Male,38,223,1935,Sedan - Collision,0,400,4,No,No,External,Collision
21-Nov-01,11-Feb-02,Male,47,224,4763,Sedan - Liability,0,400,2,No,No,External,Liability
15-Aug-01,23-Jan-02,Female,78,225,1521,Sedan - All Perils,0,400,1,No,No,External,All Perils
20-Dec-01,26-Dec-01,Male,22,226,2602,Sedan - Liability,0,400,2,No,No,External,Liability
03-Jan-01,11-Mar-01,Male,37,227,628,Sedan - Collision,0,400,2,No,No,External,Collision
13-Oct-01,25-Jun-02,Female,65,228,4565,Sedan - Collision,0,400,1,No,No,External,Collision
16-Jan-01,03-Mar-01,Male,37,229,3948,Sedan - Collision,1,400,2,No,No,External,Collision
11-May-01,19-Aug-01,Male,24,230,3932,Sedan - Liability,0,400,4,No,No,External,Liability
04-Jul-01,09-Sep-01,Male,20,231,131,Sedan - Collision,0,400,1,No,No,External,Collision
19-Feb-01,24-Feb-02,Male,24,232,949,Sedan - All Perils,0,400,2,No,No,External,All Perils
17-Mar-01,01-Mar-02,Male,66,233,1193,Sedan - Collision,1,400,2,No,No,External,Collision
01-Mar-02,17-Nov-02,Male,68,234,2051,Sedan - Collision,0,400,2,No,No,External,Collision
19-Feb-01,04-Nov-01,Male,35,235,716,Sedan - All Perils,0,400,3,No,No,External,All Perils
24-Mar-01,06-Apr-01,Male,35,236,4766,Sedan - All Perils,1,400,4,No,No,External,All Perils
27-Jan-02,21-Oct-02,Male,37,237,1865,Sedan - Collision,0,400,4,No,Yes,External,Collision
12-Apr-01,28-Dec-01,Male,25,238,895,Sedan - Liability,0,400,1,No,No,External,Liability
06-May-02,24-Jan-03,Male,74,239,1235,Sedan - All Perils,0,400,2,No,No,External,All Perils
10-Aug-01,23-Jan-02,Female,48,240,2275,Sedan - Liability,0,400,4,No,No,External,Liability
04-Jan-01,20-Sep-01,Male,48,241,2665,Sedan - Liability,0,400,4,No,No,External,Liability
29-Mar-01,26-May-01,Female,51,242,3425,Sedan - Liability,0,400,3,No,No,External,Liability
08-Jan-01,25-Dec-01,Female,26,243,4553,Sedan - Liability,0,400,3,No,No,External,Liability
12-Feb-01,01-Apr-01,Male,45,244,1638,Sedan - Collision,0,400,1,No,No,External,Collision
25-Feb-01,15-Jun-01,Male,37,245,4318,Sedan - Collision,0,400,1,No,No,External,Collision
17-Nov-01,12-Mar-02,Male,38,246,1892,Sedan - Collision,0,400,4,No,No,External,Collision
27-Aug-01,18-Dec-01,Male,39,247,1868,Sedan - All Perils,0,400,4,No,No,External,All Perils
24-Nov-01,07-Dec-01,Male,22,248,3998,Sedan - Liability,0,400,2,No,No,External,Liability
09-Feb-02,17-Feb-02,Female,30,249,3839,Sedan - Collision,0,700,2,No,No,External,Collision
05-Oct-01,12-Sep-02,Female,26,250,4155,Sedan - Collision,0,400,2,No,No,External,Collision
27-Feb-01,04-Apr-01,Male,44,251,1728,Sport - Collision,0,400,4,No,No,External,Collision
04-Mar-01,18-Jul-01,Male,66,252,1078,Sedan - All Perils,0,400,1,No,No,External,All Perils
07-Aug-01,08-Aug-01,Male,32,253,1399,Sedan - Collision,0,400,2,No,No,External,Collision
08-Oct-01,22-Apr-02,Male,57,254,3164,Sedan - Liability,0,400,2,No,No,External,Liability
09-Sep-01,30-May-02,Male,33,255,1075,Sport - Collision,0,400,2,No,No,External,Collision
20-Apr-01,05-Nov-01,Male,26,256,1061,Sedan - Liability,0,500,2,No,No,External,Liability
28-Mar-01,19-May-01,Male,29,257,4948,Sedan - Collision,0,400,3,No,No,External,Collision
02-Jan-01,05-Feb-01,Male,75,258,1467,Sedan - Collision,0,400,1,No,No,External,Collision
31-Jul-01,15-Sep-02,Female,71,259,974,Sedan - Collision,0,400,3,No,No,External,Collision
18-Feb-03,30-Mar-03,Male,25,260,3680,Sedan - Liability,0,400,2,No,No,External,Liability
26-Feb-01,16-Jul-01,Female,50,261,4096,Sedan - Collision,0,400,2,No,No,External,Collision
14-Mar-02,04-May-02,Male,64,262,2791,Sedan - All Perils,0,400,4,No,No,External,All Perils
13-Jan-01,24-Jan-01,Male,21,263,3990,Sedan - Collision,0,400,1,No,No,External,Collision
05-Feb-01,05-May-01,Male,70,264,3506,Sedan - Collision,0,400,4,No,No,External,Collision
17-Jan-01,13-Mar-01,Male,54,265,3637,Sedan - Liability,0,400,2,No,No,External,Liability
21-Dec-01,28-Jul-02,Male,23,266,1392,Sedan - Collision,0,400,2,No,No,External,Collision
09-Aug-01,04-Dec-01,Male,23,267,843,Sedan - Liability,0,400,3,No,No,External,Liability
08-Apr-03,04-Jul-03,Male,31,268,3031,Sedan - All Perils,0,400,2,No,No,External,All Perils
14-Mar-01,21-Mar-01,Male,49,269,3729,Sedan - All Perils,0,400,3,No,No,External,All Perils
